survey_id,encounter_id,likelihood_to_recommend,staff_communication,cleanliness,overall,comments
S519749,E005637,4,4,3,3,Long wait time
S455998,E001443,7,2,1,1,Doctor explained well
S396622,E006528,1,3,1,4,Long wait time
S608672,E007102,5,1,5,3,Nurse was helpful
S345198,E003914,9,4,1,4,Great care
S264074,E000802,5,5,3,1,Great care
S674124,E001418,7,2,1,1,Long wait time
S175370,E003319,3,5,2,4,Long wait time
S808190,E006698,0,3,3,4,
S691112,E007369,1,1,4,2,Facilities need improvement
S419627,E001446,1,3,2,4,Great care
S895582,E002664,7,2,3,1,
S349722,E005466,5,5,3,5,Facilities need improvement
S175125,E006500,10,5,3,2,Facilities need improvement
S105017,E003454,3,2,3,2,Great care
S264637,E001610,5,4,2,3,
S615548,E003620,9,5,1,1,Long wait time
S368468,E006979,0,1,1,2,
S426734,E005923,4,2,2,1,Long wait time
S331211,E001714,8,1,4,4,Great care
S119085,E002084,5,4,3,2,Great care
S039121,E007506,10,5,2,4,Nurse was helpful
S725172,E002271,5,5,1,1,Doctor explained well
S385447,E005487,3,1,3,4,Long wait time
S452793,E002168,2,4,4,5,Long wait time
S523639,E007256,3,4,1,1,
S649858,E003290,1,5,4,4,Doctor explained well
S794629,E005784,8,3,2,2,Long wait time
S460926,E007658,5,5,3,4,Doctor explained well
S475336,E006938,7,4,4,1,Nurse was helpful
S469666,E000324,10,5,1,4,Long wait time
S396090,E000439,1,2,1,1,
S966749,E003176,1,3,4,3,
S344732,E007449,5,1,4,3,Great care
S520760,E006635,0,1,2,5,
S272898,E006688,0,3,5,1,Long wait time
S381294,E005583,5,5,2,3,Facilities need improvement
S123703,E002886,9,5,4,3,Long wait time
S716294,E006193,2,5,5,4,Facilities need improvement
S713930,E007281,2,4,5,2,Great care
S188063,E005421,6,4,1,3,Facilities need improvement
S609062,E001386,10,3,5,2,Great care
S923737,E005553,7,5,3,5,Long wait time
S809345,E007056,0,4,4,3,
S279533,E005504,8,2,1,1,Great care
S818466,E005552,4,2,1,4,Great care
S579529,E003717,6,3,1,5,Facilities need improvement
S424411,E002648,7,3,1,1,Facilities need improvement
S348857,E000064,10,3,3,3,Facilities need improvement
S520898,E004545,5,3,1,1,Great care
S356326,E001469,3,5,2,1,Doctor explained well
S305696,E007028,0,4,3,4,Nurse was helpful
S600877,E004137,7,4,3,5,Long wait time
S488240,E005926,10,2,5,4,Long wait time
S120112,E000491,5,2,5,4,Long wait time
S285501,E007632,5,5,4,5,Doctor explained well
S715271,E001869,1,3,3,1,Doctor explained well
S221638,E001764,4,5,1,1,Great care
S897452,E003228,10,2,2,5,Great care
S326590,E001507,5,3,1,2,Great care
S279431,E006432,5,2,5,3,Nurse was helpful
S361852,E006304,7,4,5,3,Facilities need improvement
S196951,E006404,10,4,2,4,Great care
S873085,E002918,4,3,1,5,Doctor explained well
S357195,E003203,2,4,3,2,Nurse was helpful
S440998,E005790,9,3,1,1,Doctor explained well
S819772,E001444,0,2,4,4,
S084274,E002467,6,2,4,3,Long wait time
S796748,E000958,1,1,2,1,
S127657,E007431,5,1,2,2,Great care
S094392,E002520,10,1,4,5,Great care
S850499,E006263,2,2,4,2,Long wait time
S962118,E006852,5,3,2,4,Facilities need improvement
S999697,E000531,4,5,4,5,Nurse was helpful
S245291,E001445,8,4,1,1,Doctor explained well
S202296,E007667,5,4,4,5,
S209985,E005939,8,2,1,1,Great care
S854986,E003567,1,1,2,1,Nurse was helpful
S960689,E006851,5,5,5,1,
S664870,E003875,0,3,4,3,Long wait time
S350896,E004774,1,4,4,3,Nurse was helpful
S250944,E001594,4,2,1,3,Facilities need improvement
S007339,E005455,4,1,5,5,Facilities need improvement
S592417,E004708,1,5,5,3,Doctor explained well
S163987,E007808,4,4,3,4,Doctor explained well
S983771,E005975,2,3,3,1,Facilities need improvement
S145849,E002287,1,2,2,1,Doctor explained well
S731156,E005279,9,5,3,4,
S149516,E002343,5,4,5,1,Nurse was helpful
S649501,E005957,8,4,1,1,Nurse was helpful
S620451,E003144,6,1,4,5,Doctor explained well
S465891,E006218,1,3,3,2,Doctor explained well
S608153,E005973,7,1,5,1,Great care
S216365,E004635,3,1,4,3,Facilities need improvement
S734845,E002125,9,2,3,5,Doctor explained well
S862412,E004933,9,5,1,1,Great care
S906956,E005317,6,5,3,1,Facilities need improvement
S723589,E003368,9,1,3,3,Doctor explained well
S799270,E004668,7,3,1,1,
S834663,E001406,0,1,2,1,
S019305,E006669,3,4,1,4,
S629567,E001969,1,4,1,5,Doctor explained well
S682019,E000804,2,5,1,2,Nurse was helpful
S815527,E000877,6,4,3,2,Long wait time
S701629,E002116,6,3,5,4,
S740205,E002270,9,2,2,2,Doctor explained well
S574514,E004276,2,4,1,5,Facilities need improvement
S553595,E005074,8,3,3,1,Nurse was helpful
S355736,E003757,8,1,2,2,Doctor explained well
S433529,E006505,2,1,3,4,Long wait time
S482235,E007731,3,5,3,3,Great care
S469661,E007861,8,4,1,2,Doctor explained well
S134043,E001719,8,4,2,4,Facilities need improvement
S121176,E006194,1,5,3,4,Nurse was helpful
S890858,E002349,8,5,1,4,Nurse was helpful
S610881,E002943,9,4,4,5,Great care
S463736,E005928,0,2,5,1,Long wait time
S427144,E005325,0,3,2,2,Nurse was helpful
S689168,E001440,4,4,1,5,Doctor explained well
S409196,E002769,10,3,1,2,Great care
S502219,E002703,4,1,5,2,Long wait time
S978312,E000392,8,4,2,2,Nurse was helpful
S122388,E001040,2,1,2,1,
S268271,E005228,2,1,3,5,Nurse was helpful
S970537,E005526,9,4,2,4,Long wait time
S556246,E006324,7,2,2,4,Nurse was helpful
S292958,E003681,1,1,4,5,Nurse was helpful
S001013,E001063,7,3,4,5,Great care
S733431,E007664,0,1,2,2,
S841156,E004231,0,3,2,4,
S309216,E005218,8,3,4,4,Great care
S132292,E003026,10,4,1,4,Great care
S278192,E001477,7,2,3,3,Facilities need improvement
S424599,E007442,3,1,4,5,
S400302,E002339,1,1,2,2,Doctor explained well
S746956,E006080,9,2,5,4,Long wait time
S693976,E001463,7,1,4,3,Facilities need improvement
S559267,E006841,2,4,2,1,Doctor explained well
S724205,E003348,4,2,1,4,Nurse was helpful
S148355,E003722,1,1,2,4,Nurse was helpful
S454494,E003608,2,5,5,5,Facilities need improvement
S342788,E002674,1,5,2,1,Long wait time
S820582,E007186,5,5,5,3,Nurse was helpful
S278796,E006105,4,3,2,2,Great care
S511549,E002823,10,1,1,2,Great care
S558174,E003485,1,4,2,3,Facilities need improvement
S494659,E002649,0,2,5,2,
S993770,E001455,4,4,3,3,Doctor explained well
S542715,E006872,7,3,1,4,Nurse was helpful
S902916,E006326,0,3,3,4,Facilities need improvement
S591304,E000230,8,1,4,1,
S066195,E001498,1,2,2,2,Doctor explained well
S334450,E002982,1,5,4,5,Facilities need improvement
S157583,E007475,10,2,2,2,Nurse was helpful
S459018,E002797,6,1,5,3,Nurse was helpful
S355647,E000861,5,1,5,3,Nurse was helpful
S165983,E005809,4,4,4,5,
S818327,E007208,10,1,4,5,Doctor explained well
S672605,E000264,10,1,1,2,Doctor explained well
S988869,E001473,0,1,1,3,Long wait time
S097119,E006913,8,1,2,4,Great care
S218507,E002556,1,4,5,3,Great care
S301440,E002974,1,4,2,4,Nurse was helpful
S871202,E004272,3,3,5,4,
S191313,E005551,2,5,3,4,Facilities need improvement
S734548,E004512,2,1,4,3,Nurse was helpful
S264140,E005745,9,5,3,4,
S165812,E001629,8,1,4,2,Facilities need improvement
S209945,E007825,10,2,3,4,Doctor explained well
S470328,E003936,6,5,2,4,
S273727,E007178,5,4,5,5,Facilities need improvement
S764787,E000859,0,5,1,3,Great care
S176846,E002839,6,5,1,4,
S850013,E001153,5,2,1,4,
S735880,E004948,2,1,5,1,Great care
S746258,E000838,0,4,4,2,Long wait time
S581113,E005005,8,3,1,3,Facilities need improvement
S378507,E003721,9,3,4,1,Long wait time
S395559,E000782,3,3,5,3,Long wait time
S279328,E005329,2,3,4,5,Great care
S171991,E004781,7,1,4,3,
S475204,E000002,1,4,1,4,Doctor explained well
S356205,E006677,10,4,5,4,Long wait time
S061346,E000904,6,5,3,2,Great care
S088492,E001109,9,4,3,5,Facilities need improvement
S350540,E001780,6,2,3,2,Great care
S700012,E003064,1,2,3,3,Great care
S859271,E007275,8,1,5,5,
S476843,E006355,7,3,2,2,Facilities need improvement
S474336,E002783,5,2,2,2,Facilities need improvement
S607191,E003245,8,2,2,3,
S774888,E007558,6,5,1,3,Nurse was helpful
S734224,E004194,6,5,4,4,Great care
S691628,E004301,9,2,3,5,Long wait time
S061374,E001850,4,2,2,2,
S141510,E005071,5,5,3,1,Great care
S466661,E001403,5,1,5,5,Doctor explained well
S866649,E001832,6,2,5,1,Facilities need improvement
S715271,E007816,3,4,1,2,
S270261,E000371,6,2,4,1,Long wait time
S717326,E006618,9,2,4,2,Doctor explained well
S373742,E002844,5,2,5,4,
S902676,E003021,6,1,3,2,Nurse was helpful
S320361,E006417,2,4,2,4,Long wait time
S205872,E002235,3,5,5,1,Nurse was helpful
S587908,E007958,8,5,5,1,Great care
S762371,E007394,5,2,5,5,Facilities need improvement
S309871,E003496,5,1,5,2,Facilities need improvement
S172161,E005186,2,4,2,1,Facilities need improvement
S652907,E005867,3,3,3,5,
S127161,E002811,8,5,3,4,Great care
S764113,E005726,2,2,5,5,Long wait time
S509425,E001959,0,2,1,5,Nurse was helpful
S408491,E003087,7,1,1,2,Doctor explained well
S142328,E001624,3,4,3,4,Nurse was helpful
S777714,E000628,6,4,4,3,Doctor explained well
S444850,E003786,6,4,4,2,
S919259,E004342,9,3,5,4,
S488830,E003795,3,1,2,1,Doctor explained well
S771969,E001932,0,3,2,2,Facilities need improvement
S770674,E001448,5,2,2,2,Great care
S610143,E007904,4,3,1,2,Great care
S889462,E007796,0,3,2,3,Doctor explained well
S203073,E007399,3,5,1,2,Doctor explained well
S248140,E001936,1,1,2,2,Long wait time
S320208,E001449,6,4,3,1,Facilities need improvement
S425585,E002259,9,3,4,2,
S765448,E004712,2,2,3,2,Long wait time
S313681,E007315,1,4,3,1,
S289360,E005620,0,4,3,3,
S166220,E001806,1,4,1,2,Doctor explained well
S298980,E000432,6,4,1,5,Facilities need improvement
S414605,E001054,1,5,4,4,Nurse was helpful
S492312,E007235,6,5,3,2,Doctor explained well
S675954,E001523,2,5,2,1,Nurse was helpful
S183062,E000625,9,2,1,2,Nurse was helpful
S385550,E007725,8,1,3,1,Facilities need improvement
S133223,E005170,7,5,5,3,Long wait time
S856252,E004575,3,4,2,5,Great care
S550096,E002229,6,3,3,3,Nurse was helpful
S251865,E005522,4,2,4,5,Long wait time
S462807,E000689,4,3,4,5,Facilities need improvement
S419699,E006075,7,1,4,1,Long wait time
S106211,E002073,4,2,3,1,Doctor explained well
S180920,E000608,7,5,5,5,Great care
S090691,E001439,6,4,4,4,Great care
S948570,E004182,7,4,4,2,
S973817,E000846,4,1,5,1,Great care
S155324,E000084,4,5,4,1,Doctor explained well
S826430,E003851,0,5,1,4,Long wait time
S113106,E006249,3,2,5,3,
S913532,E003522,6,5,3,4,Facilities need improvement
S798753,E003837,8,3,1,5,Long wait time
S161492,E006190,3,4,2,1,Long wait time
S913675,E007923,10,2,2,2,Great care
S782848,E000793,0,5,4,4,Great care
S158378,E002617,10,5,1,3,Nurse was helpful
S198559,E002124,3,1,2,1,Facilities need improvement
S454477,E003463,4,3,2,4,Facilities need improvement
S907299,E005640,0,2,5,1,Nurse was helpful
S740117,E001841,3,2,3,4,Facilities need improvement
S919517,E004723,1,2,4,3,Facilities need improvement
S871664,E000996,0,3,2,1,Doctor explained well
S511729,E000347,3,4,3,4,Doctor explained well
S078491,E001660,2,3,4,4,Nurse was helpful
S067738,E006689,9,2,1,5,Long wait time
S215086,E001242,10,3,1,5,Great care
S084089,E003831,7,5,1,5,Facilities need improvement
S767302,E002111,1,5,3,2,Nurse was helpful
S529137,E004240,4,5,3,1,Facilities need improvement
S884084,E001509,3,2,4,1,
S489979,E007742,9,1,3,2,Doctor explained well
S523670,E004797,6,3,4,1,Great care
S651327,E000546,6,5,2,1,Long wait time
S212588,E005791,3,1,2,4,Great care
S809197,E000258,4,4,5,3,Great care
S458010,E000068,5,3,2,4,Great care
S240029,E000060,7,2,3,2,Facilities need improvement
S361967,E007626,2,4,1,5,Nurse was helpful
S767802,E001190,1,4,2,2,Doctor explained well
S896860,E005223,0,3,1,2,Long wait time
S509835,E003533,9,4,4,1,
S465292,E007119,8,5,2,5,Nurse was helpful
S161345,E004498,3,4,2,4,Facilities need improvement
S813242,E007807,5,1,2,4,Nurse was helpful
S271439,E000732,6,2,1,1,Doctor explained well
S403941,E006776,8,2,4,4,Doctor explained well
S029141,E004053,8,5,1,2,
S166112,E005364,6,4,4,5,Doctor explained well
S020652,E001281,0,5,4,4,Nurse was helpful
S748291,E002475,8,3,1,3,
S999072,E006796,8,5,1,5,Long wait time
S933761,E007591,9,1,5,2,Nurse was helpful
S835724,E005984,3,4,2,4,
S486286,E002917,3,3,4,4,Long wait time
S073038,E002872,10,1,1,4,Long wait time
S815698,E006926,5,5,4,1,Great care
S492487,E004578,5,5,2,5,Doctor explained well
S879866,E004468,1,5,5,3,Facilities need improvement
S296838,E001672,1,1,3,1,Facilities need improvement
S550156,E004702,9,1,4,2,Facilities need improvement
S284806,E002647,9,3,3,5,Nurse was helpful
S489100,E001093,5,2,1,3,Nurse was helpful
S857500,E006469,5,4,2,3,Nurse was helpful
S136096,E003193,9,3,3,2,Nurse was helpful
S194585,E005980,8,1,2,3,Great care
S220240,E002899,0,4,4,2,Great care
S633342,E001559,2,1,1,3,
S134461,E004697,2,2,5,4,
S888064,E000314,3,4,2,4,
S715134,E007746,10,4,3,4,Great care
S953517,E006213,5,3,4,3,Facilities need improvement
S911512,E002024,8,1,5,4,Facilities need improvement
S483243,E006118,10,2,2,2,Great care
S088613,E003495,0,4,1,2,
S058577,E007797,8,4,2,1,Doctor explained well
S263793,E006545,1,1,4,1,Great care
S522866,E007476,4,3,3,2,Doctor explained well
S219485,E004891,2,2,5,4,Great care
S959631,E003299,0,2,3,4,Nurse was helpful
S757375,E001012,5,4,4,3,Doctor explained well
S644996,E007896,2,1,4,4,
S157918,E001045,5,3,4,3,Facilities need improvement
S774172,E007902,6,4,3,3,Doctor explained well
S690555,E001213,8,1,2,3,Facilities need improvement
S373037,E003770,7,4,4,1,Nurse was helpful
S221420,E002296,6,2,4,3,Facilities need improvement
S156148,E002329,5,2,4,2,Facilities need improvement
S504260,E007829,9,5,2,3,Nurse was helpful
S645470,E000458,9,2,4,2,
S649417,E003506,9,4,5,2,Great care
S771967,E000569,5,5,4,4,Doctor explained well
S222473,E003910,2,4,2,3,Great care
S155153,E000123,1,4,5,5,Doctor explained well
S465407,E000249,3,2,5,1,Long wait time
S918768,E003377,8,3,1,1,Facilities need improvement
S772587,E007503,4,1,1,2,
S535079,E002707,5,4,2,4,Doctor explained well
S218995,E003054,6,5,1,1,Doctor explained well
S137362,E002461,8,4,5,1,Long wait time
S369377,E000502,6,5,5,1,Great care
S963377,E000072,1,4,2,2,Great care
S438226,E007546,1,5,2,5,Doctor explained well
S424247,E003338,9,4,4,2,Long wait time
S084669,E006552,8,4,5,2,Long wait time
S587950,E000407,1,4,4,5,Nurse was helpful
S733664,E000501,9,2,1,5,
S910206,E006868,6,1,5,4,Long wait time
S255075,E007060,8,3,2,3,Facilities need improvement
S471776,E006037,5,3,4,3,Long wait time
S149532,E000923,3,3,1,2,Facilities need improvement
S412479,E006768,10,1,4,1,
S882038,E002052,4,4,4,4,Great care
S907611,E005137,3,2,4,5,Great care
S531429,E004370,1,1,5,2,Great care
S142685,E007538,5,2,2,3,Nurse was helpful
S829156,E002086,10,3,4,4,Facilities need improvement
S083236,E007415,5,2,5,1,Doctor explained well
S073095,E000282,6,5,2,3,Long wait time
S293634,E004392,7,2,5,4,Long wait time
S093745,E006331,7,3,4,5,Great care
S023434,E007931,1,4,5,3,Great care
S248745,E002508,5,5,4,2,Doctor explained well
S322859,E005481,8,5,4,5,Nurse was helpful
S925932,E004047,0,4,5,5,Nurse was helpful
S216993,E002725,10,2,1,5,
S413424,E004410,1,2,2,2,Nurse was helpful
S734603,E006168,3,2,5,4,Long wait time
S631936,E000418,10,2,2,4,Long wait time
S939566,E003344,2,1,5,1,Facilities need improvement
S026684,E006381,7,3,4,1,Nurse was helpful
S561685,E000779,10,1,4,1,Facilities need improvement
S611073,E004150,7,3,4,4,Doctor explained well
S660844,E003293,8,4,2,1,Great care
S137471,E000038,8,4,5,1,Long wait time
S561042,E006112,9,1,2,3,Facilities need improvement
S076131,E007177,8,3,1,5,
S010762,E004058,2,3,4,5,Doctor explained well
S547152,E004126,3,1,2,1,Nurse was helpful
S931434,E004775,0,4,1,1,Great care
S473720,E005972,1,3,5,5,Great care
S916626,E001146,4,4,3,4,
S490738,E000825,0,3,3,2,Doctor explained well
S401340,E006719,8,4,1,4,Doctor explained well
S745432,E005366,4,1,3,5,
S411301,E006639,3,1,5,4,Great care
S973098,E007686,6,5,5,4,
S802112,E006141,8,5,1,1,Facilities need improvement
S154714,E004232,10,2,1,2,Nurse was helpful
S556610,E004278,7,2,2,2,Facilities need improvement
S029982,E006895,8,2,5,1,
S091919,E002936,1,4,2,4,Long wait time
S622141,E006368,6,2,5,5,Doctor explained well
S818807,E000433,9,2,3,3,
S035858,E005938,0,4,3,1,Doctor explained well
S011536,E000527,6,3,1,5,Great care
S258938,E001165,2,1,2,5,Facilities need improvement
S153439,E006894,4,3,4,3,Great care
S999628,E001776,9,2,3,5,Facilities need improvement
S207050,E007677,4,3,1,1,Doctor explained well
S843047,E002096,6,5,4,2,
S750430,E001124,8,5,3,4,Nurse was helpful
S014175,E007919,6,3,4,1,
S671524,E004641,0,5,3,1,Nurse was helpful
S280928,E000289,0,5,5,1,Doctor explained well
S530451,E000765,9,2,1,4,Long wait time
S234417,E007759,7,4,3,4,Nurse was helpful
S771898,E005229,3,2,2,3,
S553580,E002294,5,5,5,4,Long wait time
S960682,E000873,0,5,3,3,Nurse was helpful
S135128,E005600,10,5,2,4,Doctor explained well
S810604,E001758,4,1,4,2,Facilities need improvement
S269277,E001465,10,3,5,5,
S562027,E000400,10,2,4,5,Great care
S253961,E002316,10,3,4,4,
S883368,E001031,8,4,3,5,Long wait time
S827079,E000555,9,5,5,3,Doctor explained well
S434711,E001460,4,2,1,1,Long wait time
S424450,E004511,4,5,3,4,Long wait time
S394442,E003911,2,5,1,2,
S350839,E000516,3,5,4,2,Long wait time
S274121,E006993,0,3,2,4,Nurse was helpful
S332811,E002376,1,5,1,5,Doctor explained well
S682493,E000812,0,2,3,3,Long wait time
S410352,E006790,4,5,1,1,Doctor explained well
S898910,E000787,8,1,5,4,Great care
S405302,E002170,5,1,1,2,Facilities need improvement
S069432,E006858,9,1,5,3,Long wait time
S037837,E000354,2,5,1,5,Long wait time
S274906,E000062,2,1,2,1,Great care
S134956,E000044,9,3,5,1,
S531541,E004692,1,5,3,2,Great care
S679333,E002521,3,3,2,3,Doctor explained well
S597965,E006653,8,5,3,4,Doctor explained well
S785352,E007136,3,4,2,4,Nurse was helpful
S216864,E004640,10,3,5,5,Facilities need improvement
S608445,E001428,5,1,1,2,Great care
S858442,E007142,8,5,5,5,Nurse was helpful
S876109,E003761,2,3,4,2,Nurse was helpful
S339312,E005875,8,4,2,5,Facilities need improvement
S738993,E003048,4,2,2,2,Long wait time
S398072,E006188,6,4,3,2,Facilities need improvement
S144973,E000580,5,5,1,2,Facilities need improvement
S821880,E001000,2,5,5,2,Nurse was helpful
S004611,E007575,10,1,2,4,Doctor explained well
S160674,E005948,7,4,3,4,Great care
S566428,E003324,2,3,2,4,Doctor explained well
S796749,E001967,9,4,3,1,Long wait time
S317180,E007616,8,4,1,5,
S505437,E004789,9,3,3,3,
S443945,E005159,4,1,4,5,Long wait time
S751868,E001238,0,4,1,1,Facilities need improvement
S535630,E002267,8,2,4,5,Facilities need improvement
S036690,E005447,9,5,2,3,
S229606,E000893,2,4,3,5,Long wait time
S509770,E001702,8,1,4,1,Great care
S679200,E003038,7,3,2,2,Facilities need improvement
S377594,E004302,8,3,1,2,Doctor explained well
S370847,E001478,9,1,4,1,Facilities need improvement
S071169,E003968,1,1,4,4,Doctor explained well
S396799,E003834,9,1,2,5,Great care
S564182,E003472,6,5,3,2,Facilities need improvement
S677191,E006638,10,3,3,5,Doctor explained well
S894715,E005311,2,1,4,4,Long wait time
S941221,E001931,10,3,2,1,Nurse was helpful
S813303,E005306,8,3,2,1,Long wait time
S323880,E000517,2,4,3,2,Facilities need improvement
S417035,E005148,4,3,1,4,
S188126,E004638,7,2,1,5,Doctor explained well
S672971,E006826,0,2,2,1,
S225776,E007299,4,2,2,2,Long wait time
S013279,E000833,6,4,2,4,
S903928,E003511,6,1,4,3,Facilities need improvement
S937620,E003325,6,1,4,5,Long wait time
S275821,E001521,0,2,2,2,Great care
S295978,E004814,2,2,1,1,Great care
S007145,E002450,9,1,4,4,Long wait time
S492489,E000406,3,4,3,2,Facilities need improvement
S292647,E007018,7,4,4,1,Great care
S366917,E006467,0,5,4,3,Nurse was helpful
S353452,E004821,2,4,2,1,
S345681,E007493,3,1,2,4,Facilities need improvement
S026549,E001897,3,5,5,4,Doctor explained well
S934609,E004179,0,4,3,4,Facilities need improvement
S603794,E006008,3,2,1,4,Nurse was helpful
S011489,E003089,8,2,2,4,Doctor explained well
S825609,E007082,8,4,1,3,Nurse was helpful
S977837,E004626,8,2,2,5,Great care
S974454,E006967,10,5,5,5,Nurse was helpful
S218096,E001136,1,4,5,5,
S324464,E005449,8,2,2,1,Doctor explained well
S166410,E002226,10,3,4,4,Long wait time
S633424,E003122,10,1,4,1,Great care
S817652,E007016,8,1,5,5,Doctor explained well
S316229,E005470,5,1,4,2,
S145009,E003889,10,1,1,1,Nurse was helpful
S198731,E000212,6,3,2,4,Long wait time
S949528,E006093,2,4,4,4,Nurse was helpful
S940805,E003759,6,2,4,5,Great care
S810685,E005024,8,4,4,1,
S151547,E006757,1,3,3,5,Facilities need improvement
S257355,E005601,6,1,3,3,
S981185,E000720,6,4,3,1,
S511396,E005162,6,1,5,5,Great care
S155559,E004034,5,5,4,5,Facilities need improvement
S287099,E000616,9,2,2,1,Nurse was helpful
S864221,E001344,0,3,1,1,Nurse was helpful
S195977,E006625,5,4,5,5,Great care
S764632,E005648,9,1,2,1,Facilities need improvement
S561964,E007099,2,1,5,5,Nurse was helpful
S585189,E004660,6,2,2,1,Nurse was helpful
S759873,E006932,7,1,3,5,Doctor explained well
S724801,E005539,1,5,4,3,Facilities need improvement
S130732,E002364,10,4,5,1,Doctor explained well
S124872,E007423,10,1,4,1,Long wait time
S417236,E002004,2,5,5,3,Nurse was helpful
S956088,E000801,4,1,1,4,Doctor explained well
S348545,E001815,5,2,1,2,Nurse was helpful
S749998,E004836,9,3,2,4,
S331300,E005994,2,2,1,4,
S062154,E004209,0,4,5,5,
S382276,E001711,7,5,1,4,
S571408,E004539,5,1,5,3,Great care
S712897,E004448,10,2,2,5,Facilities need improvement
S893181,E002842,2,2,3,1,Great care
S337774,E004889,0,5,2,2,
S222772,E007354,4,3,2,2,Long wait time
S240681,E003881,1,5,1,5,Nurse was helpful
S783331,E003232,6,5,2,2,Nurse was helpful
S005595,E004875,4,3,2,1,Doctor explained well
S910641,E003424,4,1,1,2,
S113414,E006542,6,3,5,4,
S526085,E000058,7,4,4,3,
S747638,E000176,9,3,1,3,Facilities need improvement
S747542,E005963,4,1,4,2,Nurse was helpful
S570604,E003689,3,4,3,1,Facilities need improvement
S394448,E006276,9,4,2,1,Facilities need improvement
S113958,E007901,1,3,3,4,Facilities need improvement
S783050,E005531,8,5,3,2,Doctor explained well
S184928,E007140,8,1,3,1,Long wait time
S003288,E005064,7,4,4,2,Great care
S974723,E002542,8,3,1,3,
S113522,E002425,0,4,5,1,Great care
S832122,E004354,5,2,5,3,Doctor explained well
S441895,E003425,5,1,5,5,Nurse was helpful
S279461,E000969,6,5,5,1,Facilities need improvement
S608630,E007355,6,2,1,5,Nurse was helpful
S072109,E007582,3,5,1,4,
S153856,E002979,8,2,1,2,
S124762,E000582,8,1,3,4,Long wait time
S902801,E007568,5,1,4,4,Nurse was helpful
S348410,E007695,0,3,4,3,Nurse was helpful
S814354,E005240,2,4,3,1,Doctor explained well
S135246,E006177,7,2,5,5,Great care
S307660,E007812,9,1,5,1,Doctor explained well
S580722,E003690,3,4,5,2,Long wait time
S338911,E001540,2,3,4,5,Facilities need improvement
S249527,E001707,6,3,4,5,Nurse was helpful
S327049,E001690,5,4,2,3,Facilities need improvement
S497418,E001412,8,4,5,5,Long wait time
S067180,E000278,8,1,2,2,Doctor explained well
S419892,E004400,9,1,2,1,Nurse was helpful
S708270,E007029,0,1,1,3,Great care
S184903,E005102,8,2,4,2,
S118170,E003775,5,1,2,1,Nurse was helpful
S338078,E001716,6,1,1,5,Long wait time
S832547,E006519,4,5,1,1,Long wait time
S212342,E007681,9,2,4,5,Facilities need improvement
S683958,E002165,4,5,3,5,Long wait time
S519091,E005207,8,5,2,2,Doctor explained well
S456585,E004777,6,3,5,3,Facilities need improvement
S921607,E002775,1,5,2,1,
S584992,E007073,8,5,2,2,Doctor explained well
S809676,E002561,7,1,1,1,Great care
S708810,E005012,8,4,2,4,Great care
S683203,E002062,9,3,1,4,Facilities need improvement
S660968,E005967,2,5,3,3,Long wait time
S273135,E001706,4,5,4,4,Long wait time
S467708,E000965,9,1,1,1,Nurse was helpful
S656818,E002141,4,2,1,1,Long wait time
S019105,E006842,1,4,1,2,Doctor explained well
S507172,E003730,5,5,5,4,Nurse was helpful
S149241,E003224,6,3,5,5,Long wait time
S709461,E005294,6,2,4,2,
S610006,E001741,8,1,2,3,Nurse was helpful
S622345,E000864,3,2,3,1,Nurse was helpful
S614535,E007086,9,2,1,2,Long wait time
S165955,E007426,2,3,1,5,Doctor explained well
S221109,E002565,9,3,5,3,Doctor explained well
S662064,E000158,1,1,1,2,
S032113,E006421,3,1,2,5,
S474772,E007997,0,4,2,1,Great care
S284961,E000691,8,4,2,2,Facilities need improvement
S358031,E006744,8,2,4,1,Doctor explained well
S327014,E002350,0,2,1,2,Great care
S793083,E001132,1,4,2,4,Great care
S627382,E002091,9,3,1,1,Doctor explained well
S112272,E007303,1,3,3,3,Nurse was helpful
S289914,E007831,4,4,1,3,Doctor explained well
S697005,E000686,1,3,1,4,Nurse was helpful
S445864,E006158,8,2,4,2,Nurse was helpful
S201635,E002991,2,5,4,1,Nurse was helpful
S634351,E006648,8,5,1,4,
S995441,E007497,0,1,1,2,Great care
S390655,E006308,1,4,5,2,Great care
S216519,E001906,8,2,3,4,Nurse was helpful
S000401,E007802,3,2,5,2,
S512982,E001084,0,2,1,3,Facilities need improvement
S482772,E003563,8,2,2,2,Long wait time
S358041,E004254,3,5,2,2,Long wait time
S296630,E001121,4,2,3,5,Facilities need improvement
S330976,E002717,0,5,3,5,Great care
S497449,E005598,6,1,3,2,Nurse was helpful
S226713,E007750,4,5,5,3,Doctor explained well
S071327,E002689,9,4,4,3,Doctor explained well
S086260,E000111,7,4,4,5,
S264265,E007061,6,3,1,1,Nurse was helpful
S266612,E004263,0,2,2,1,Great care
S229283,E000719,5,4,3,3,Great care
S096148,E007218,1,4,2,5,Great care
S023464,E003564,7,1,1,4,
S024375,E007700,0,2,3,4,Nurse was helpful
S248298,E003663,2,4,5,1,Facilities need improvement
S261336,E006631,1,5,4,5,Long wait time
S455987,E000609,5,2,4,4,Long wait time
S902849,E001029,10,2,4,5,
S394551,E006709,3,4,2,4,Doctor explained well
S703877,E005286,5,5,4,4,Facilities need improvement
S108088,E002573,7,5,1,3,Great care
S031888,E003105,4,4,3,5,Long wait time
